PlatePosition,PCR,ID,OldName,MergedName,NewName
C4,pcr1,C4-pcr1,infar_m-red_kidneys_pcr1,infar_f-red_kidneys,infar_f-red_kidneys_pcr1
C4,pcr2,C4-pcr2,infar_m-black_kidneys_pcr2,infar_f-red_kidneys,infar_f-red_kidneys_pcr2
C4,pcr3,C4-pcr3,infko_m-black_reproductive_pcr3,infko_m-black_reproductive,infko_m-black_reproductive_pcr3
C5,pcr1,C5-pcr1,infar_m-black_kidneys_pcr1,infar_m-red_kidneys,infar_m-red_kidneys_pcr1
C5,pcr2,C5-pcr2,infko_f-black_kidneys_pcr2,infar_m-red_kidneys,infar_m-red_kidneys_pcr2
C5,pcr3,C5-pcr3,infar_f-red_kidneys_pcr3,infar_f-red_kidneys,infar_f-red_kidneys_pcr3
C6,pcr1,C6-pcr1,infko_f-black_kidneys_pcr1,infar_m-black_kidneys,infar_m-black_kidneys_pcr1
C6,pcr2,C6-pcr2,infko_m-red_kidneys_pcr2,infar_m-black_kidneys,infar_m-black_kidneys_pcr2
C6,pcr3,C6-pcr3,infar_m-red_kidneys_pcr3,infar_m-red_kidneys,infar_m-red_kidneys_pcr3
C7,pcr1,C7-pcr1,infko_m-red_kidneys_pcr1,infko_f-black_kidneys,infko_f-black_kidneys_pcr1
C7,pcr2,C7-pcr2,infko_m-black_kidneys_pcr2,infko_f-black_kidneys,infko_f-black_kidneys_pcr2
C7,pcr3,C7-pcr3,infar_m-black_kidneys_pcr3,infar_m-black_kidneys,infar_m-black_kidneys_pcr3
C8,pcr1,C8-pcr1,infko_m-black_kidneys_pcr1,infko_m-red_kidneys,infko_m-red_kidneys_pcr1
C8,pcr2,C8-pcr2,infko_f-black_liver_pcr2,infko_m-red_kidneys,infko_m-red_kidneys_pcr2
C9,pcr1,C9-pcr1,infar_f-red_liver_pcr1,infko_m-black_kidneys,infko_m-black_kidneys_pcr1
C9,pcr2,C9-pcr2,infar_m-red_spleen_pcr2,infko_m-black_kidneys,infko_m-black_kidneys_pcr2
C9,pcr3,C9-pcr3,infko_m-red_kidneys_pcr3,infko_m-red_kidneys,infko_m-red_kidneys_pcr3
D1,pcr1,D1-pcr1,infko_m-red_liver_pcr1,infko_f-black_liver,infko_f-black_liver_pcr1
D1,pcr2,D1-pcr2,infar_m-black_spinal_cord_pcr2,infar_f-red_spleen,infar_f-red_spleen_pcr2
D1,pcr3,D1-pcr3,infar_f-red_spleen_pcr3,infar_f-red_spleen,infar_f-red_spleen_pcr3
D10,pcr1,D10-pcr1,infar_m-red_spinal_cord_pcr1,infar_f-red_spinal_cord,infar_f-red_spinal_cord_pcr1
